X,Species
X1,14-2_sp
X2,14-2_sp000403315
X3,14-2_sp004793545
X4,14-2_sp910576385
X5,14-2_sp910577785
X6,14-2_sp910580015
X7,1XD42-69_sp
X8,1XD42-69_sp009911505
X9,1XD42-69_sp011959925
X10,1XD8-76_sp910573755
X11,Acetatifactor_sp
X12,Acetatifactor_sp011959105
X13,Acetatifactor_sp910585425
X14,Acetatifactor_sp910585615
X15,Acetatifactor_sp910585665
X16,Acetatifactor_sp910589035
X17,Acutalibacter_sp
X18,Acutalibacter_sp910580045
X19,Acutalibacter_sp910587995
X20,Adlercreutzia_mucosicola
X21,Adlercreutzia_muris
X22,Adlercreutzia_sp
X23,Alistipes_sp910575495
X24,Alloprevotella_sp002933955
X25,Anaerocaecibacter_sp910577995
X26,Anaerotignum_sp910576545
X27,Anaerotruncus_colihominis
X28,Anaerotruncus_sp
X29,Anaerotruncus_sp000403395
X30,Anaerotruncus_sp003612625
X31,Anaerotruncus_sp910586875
X32,Angelakisella_sp
X33,Angelakisella_sp022795575
X34,Angelakisella_sp910585535
X35,Avidehalobacter_sp022797295
X36,Bacteroides_acidifaciens
X37,Bacteroides_sp002491635
X38,Bacteroides_uniformis
X39,Butyribacter_sp009774235
X40,Butyricicoccaceae_sp
X41,Butyricimonas_virosa
X42,C-19_sp
X43,CAG-485_sp
X44,CAG-485_sp002361215
X45,CAG-485_sp002362485
X46,CAG-873_sp
X47,CAG-873_sp002490635
X48,CAG-873_sp009775265
X49,CAG-873_sp011959565
X50,CAG-95_sp000403495
X51,CAJFPI01_sp022801715
X52,CAJTFG01_sp910575705
X53,COE1_sp
X54,COE1_sp000403215
X55,COE1_sp003513705
X56,COE1_sp910585765
X57,Caccovicinus_sp910575565
X58,Choladocola_sp
X59,Choladocola_sp009774145
X60,Clostridium_Q_sp
X61,Coprobacter_secundus
X62,Coproplasma_sp
X63,Coproplasma_sp013316055
X64,Coproplasma_sp910577555
X65,Coproplasma_sp910578145
X66,Coproplasma_sp910586065
X67,D16-34_sp910575165
X68,D16-63_sp
X69,Duncaniella_dubosii
X70,Duncaniella_freteri
X71,Duncaniella_muris
X72,Duncaniella_sp
X73,Dysosmobacter_sp
X74,Dysosmobacter_sp022797935
X75,Dysosmobacter_sp910584995
X76,Dysosmobacter_sp910588175
X77,Enterenecus_sp
X78,Enterenecus_sp910585265
X79,Enterococcus_faecalis
X80,Enterorhabdus_sp009911695
X81,Eubacterium_F_sp
X82,Eubacterium_G_sp910574895
X83,Eubacterium_J_sp
X84,Eubacterium_J_sp910574915
X85,Eubacterium_J_sp910579075
X86,Eubacterium_J_sp910586445
X87,Eubacterium_plexicaudatum
X88,Evtepia_sp
X89,Evtepia_sp910584805
X90,Faecivivens_sp022793675
X91,Fimisoma_sp
X92,Flavonifractor_plautii
X93,Gallimonas_sp910586825
X94,HGM11386_sp022791055
X95,HGM13010_sp022800755
X96,JAAVYD01_sp022790955
X97,JAAVYR01_sp022791255
X98,JAAWBF01_sp
X99,JAFLTL01_sp
X100,JAFLTL01_sp910578395
X101,JANFXS01_sp022791155
X102,Kineothri_sp
X103,Kineothrix_sp011958945
X104,Kineothrix_sp910588855
X105,Lachnoclostridium_B_sp
X106,Lachnoclostridium_pacaense
X107,Lachnoclostridium_phocaeense
X108,Lachnospiraceae_sp
X109,Lactobacillus_amylovorus
X110,Lactobacillus_johnsonii
X111,Lactobacillus_ultunensis
X112,Lawsonibacter_sp
X113,Lawsonibacter_sp022801435
X114,Ligilactobacillus_murinus
X115,MD308_sp910584615
X116,MGBC131033_sp910585655
X117,MGBC136627_sp910585935
X118,MGBC163016_sp
X119,MGBC163016_sp910588905
X120,MGBC163016_sp910589135
X121,MGBC163490_sp910588075
X122,MGBC164599_sp
X123,MGBC164599_sp910575625
X124,MGBC165282_sp910589265
X125,Massilicoli_timonensis
X126,Merdisoma_sp
X127,Merdisoma_sp910574475
X128,Mucispirillum_schaedleri
X129,Muribaculum_gordoncarteri
X130,Muribaculum_intestinale
X131,Nanosyncoccus_sp
X132,Odoribacter_sp910589025
X133,Oscillospiraceae_sp
X134,Paralachnospira_sp022792335
X135,Paramuribaculum_intestinale
X136,Paramuribaculum_sp001689565
X137,Pelethenecus_sp910577745
X138,Pelethomonas_sp
X139,Pelethomonas_sp910579965
X140,Phocaeicola_barnesiae
X141,Pseudobutyricicoccus_sp910579575
X142,Pumilibacter_sp
X143,RGIG4057_sp910577675
X144,RGIG7193_sp
X145,RGIG7193_sp022791755
X146,RGIG8607_sp910588535
X147,Roseburia_sp910587865
X148,Ruminiclostridium_E_sp910585505
X149,Schaedlerella_sp
X150,Sporofaciens_sp
X151,Sporofaciens_sp910575835
X152,UBA11774_sp022790905
X153,UBA1381_sp
X154,UBA3282_sp
X155,UBA3282_sp003611805
X156,UBA3282_sp009774655
X157,UBA3282_sp910575245
X158,UBA3282_sp910577735
X159,UBA3282_sp910578115
X160,UBA3402_sp022792815
X161,UBA7109_sp910575605
X162,UBA7173_sp
X163,UBA7173_sp001689485
X164,UMGS1071_sp022801595
X165,Unclassified_BinA
X166,Unclassified_BinB
X167,Unclassified_BinC
X168,Unclassified_BinD
X169,Unclassified_BinE
X170,Unclassified_BinF
X171,Unclassified_BinG
X172,Unclassified_BinH
X173,Ventrimonas_sp
X174,Ventrimonas_sp910577765
X175,Zhenpiania_sp
X176,[Clostridium]_clostridioforme
X177,[Clostridium]_innocuum
