OTUID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192
570_T2,7.1107887,-1.190606613,-1.190606613,7.060573831,7.026465774,-1.190606613,-1.190606613,-1.190606613,-1.190606613,6.586970918,6.453439525,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,5.87831955,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,5.606141665,5.230981906,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,5.6512621,-1.190606613,5.4864337,-1.190606613,5.850595002,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,5.771221415,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,5.024489988,-1.190606613,-1.190606613,-1.190606613,4.967871094,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,5.309875848,-1.190606613,-1.190606613,5.611256765,-1.190606613,-1.190606613,-1.190606613,5.49792808,5.740313877,-1.190606613,5.548077864,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,5.771221415,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,5.260395791,-1.190606613,-1.190606613,-1.190606613,5.601000265,5.00597094,-1.190606613,-1.190606613,5.43908758,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,5.128932652,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,5.631459473,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,4.358493797,-1.190606613,-1.190606613,-1.190606613,5.223491234,-1.190606613,4.623601547,-1.190606613,-1.190606613,-1.190606613,5.33035438,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,4.958114919,-1.190606613,4.739861353,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,-1.190606613,4.928261956,-1.190606613,4.702589958,-1.190606613,-1.190606613,-1.190606613
571_T2,5.817860863,5.80733445,5.377771791,5.535400735,5.665453863,5.478242321,4.869652528,5.284086306,4.935035288,5.455936563,5.310519564,5.256935317,4.254466889,4.659931997,4.436788446,-1.427705648,4.909392857,-1.427705648,-1.427705648,5.098186928,4.477610441,-1.427705648,6.266031009,-1.427705648,5.36960848,-1.427705648,-1.427705648,5.589467956,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,5.150554914,-1.427705648,-1.427705648,-1.427705648,-1.427705648,4.896320775,5.6469918,-1.427705648,-1.427705648,-1.427705648,-1.427705648,4.535879349,-1.427705648,5.275117636,5.634491637,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,5.868892343,-1.427705648,-1.427705648,5.764084466,-1.427705648,-1.427705648,5.160707285,-1.427705648,-1.427705648,-1.427705648,-1.427705648,5.817860863,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,5.812611507,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,5.671532909,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,5.292975254,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,4.303257053,4.869652528,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,4.896320775,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,4.883075549,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,5.986122434,-1.427705648,-1.427705648,4.828267312,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,5.433121886,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648,-1.427705648
572_T2,3.781326472,4.139834597,4.237473066,4.009959515,4.045805647,4.207972402,4.249033889,3.808477461,3.995253368,3.772109816,3.167516033,3.060270503,3.060270503,3.002001595,3.217112974,3.484427744,3.133029857,3.060270503,2.616339114,-2.568099859,2.940126191,-2.568099859,-2.568099859,2.9611796,2.896641079,2.523965794,3.184323152,3.248861673,3.021804222,-2.568099859,-2.568099859,-2.568099859,-2.568099859,2.523965794,-2.568099859,3.279633331,-2.568099859,-2.568099859,3.459426442,-2.568099859,2.940126191,-2.568099859,-2.568099859,3.834910718,2.555714492,3.279633331,-2.568099859,-2.568099859,-2.568099859,3.685098439,3.041222308,3.097311775,3.808477461,-2.568099859,2.753540235,-2.568099859,3.233113316,-2.568099859,4.310334414,-2.568099859,2.727564749,3.446687416,3.279633331,3.233113316,2.457274419,-2.568099859,2.491175971,3.995253368,-2.568099859,-2.568099859,-2.568099859,4.093924895,2.616339114,3.472005224,3.893999634,2.491175971,2.727564749,3.078962636,-2.568099859,-2.568099859,3.184323152,-2.568099859,3.324085094,-2.568099859,2.616339114,2.645326651,3.352658466,-2.568099859,3.133029857,-2.568099859,-2.568099859,-2.568099859,-2.568099859,2.918619986,3.11533028,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,3.338473831,-2.568099859,-2.568099859,-2.568099859,3.1504216,-2.568099859,-2.568099859,3.097311775,-2.568099859,-2.568099859,4.277364395,3.233113316,-2.568099859,-2.568099859,-2.568099859,3.643855481,-2.568099859,-2.568099859,-2.568099859,2.981798887,-2.568099859,-2.568099859,3.980327718,-2.568099859,-2.568099859,-2.568099859,-2.568099859,4.002633475,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,3.772109816,-2.568099859,-2.568099859,4.441836723,-2.568099859,-2.568099859,4.669708415,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,3.685098439,-2.568099859,-2.568099859,-2.568099859,-2.568099859,3.893999634,-2.568099859,-2.568099859,-2.568099859,-2.568099859,3.508819197,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,3.949790994,-2.568099859,4.288475621,3.578614959,2.727564749,-2.568099859,-2.568099859,-2.568099859,-2.568099859,3.860663214,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,2.918619986,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859,-2.568099859
573_T2,4.301329037,4.251936282,3.732636031,3.987882827,4.025623155,4.111752309,3.546050075,3.659073464,3.546050075,3.801155977,3.75368944,3.537466331,3.554560765,3.408848954,3.368843619,2.942759224,3.114609481,3.316475634,3.305664717,3.283685811,3.190595388,4.009622814,4.332952225,3.087941234,3.502375012,3.484356506,3.046556017,-2.642098259,2.472755594,3.127681562,3.101364254,-2.642098259,-2.642098259,2.927010867,-2.642098259,2.973530882,-2.642098259,-2.642098259,-2.642098259,2.367395079,3.165902775,-2.642098259,4.101996134,3.046556017,-2.642098259,-2.642098259,-2.642098259,3.90784012,2.472755594,2.59053863,2.612517537,2.735119859,-2.642098259,-2.642098259,3.348224332,3.087941234,3.408848954,3.982373172,2.394794053,4.082193507,2.695899146,-2.642098259,2.809227831,3.493406342,-2.642098259,-2.642098259,-2.642098259,-2.642098259,4.208826158,-2.642098259,4.020318103,3.998811898,2.447437787,2.568065774,-2.642098259,3.327170923,-2.642098259,3.127681562,-2.642098259,3.840121946,2.973530882,-2.642098259,3.127681562,-2.642098259,-2.642098259,3.725518563,3.294735647,-2.642098259,2.367395079,2.447437787,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,3.948662114,-2.642098259,2.894750005,2.95826341,3.348224332,-2.642098259,-2.642098259,-2.642098259,3.94293144,2.675696438,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,2.249612043,2.927010867,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,2.545076256,-2.642098259,2.15117197,2.568065774,-2.642098259,2.217863345,-2.642098259,-2.642098259,3.337753032,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,4.036149568,-2.642098259,-2.642098259,-2.642098259,3.781088414,-2.642098259,-2.642098259,3.596060496,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,2.735119859,2.735119859,2.59053863,3.466007368,-2.642098259,-2.642098259,2.754168054,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,-2.642098259,3.017982645
574_T2,3.954115435,3.83795446,3.310239303,3.467524782,3.687847457,3.555122841,2.649527399,3.133397212,2.56637703,3.244967913,3.076045916,2.783723464,2.680943595,2.554748992,2.542984151,2.303434564,1.987796414,2.554748992,2.906146879,2.303434564,2.361845326,2.660109508,2.450038038,2.842431065,2.249367343,2.617092123,2.396692058,1.987796414,2.018255622,2.318360214,2.325740322,-3.329202647,2.257272522,2.008205286,1.878993554,2.542984151,-3.329202647,2.622571589,-3.329202647,2.295887358,2.73120543,2.067045786,2.175259371,2.241399173,1.912895106,2.462941443,2.07652453,1.689751555,2.51903091,2.42372073,2.354727858,2.583569431,2.104433318,1.855736692,1.80753459,2.200577179,2.047814424,2.257272522,1.987796414,2.654832451,1.987796414,2.783723464,-3.329202647,2.417031742,2.047814424,1.831926044,2.104433318,1.956380218,-3.329202647,2.469331241,1.730573549,-3.329202647,-3.329202647,2.131584307,0.93944596,2.018255622,-3.329202647,2.368912493,2.962161521,-3.329202647,2.368912493,2.617092123,-3.329202647,2.208875981,2.140473255,-3.329202647,-3.329202647,2.665358864,1.5239593,-3.329202647,2.140473255,1.855736692,2.721353133,-3.329202647,-3.329202647,2.389819178,-3.329202647,1.867432732,2.456510553,-3.329202647,1.855736692,2.417031742,1.730573549,-3.329202647,-3.329202647,1.855736692,1.661580678,2.067045786,-3.329202647,-3.329202647,-3.329202647,-3.329202647,2.07652453,-3.329202647,-3.329202647,-3.329202647,1.782533288,2.764943569,2.686084994,-3.329202647,-3.329202647,-3.329202647,-3.329202647,-3.329202647,1.717150529,-3.329202647,2.018255622,-3.329202647,-3.329202647,1.344911069,3.076045916,1.174285552,-3.329202647,-3.329202647,-3.329202647,1.602740178,-3.329202647,-3.329202647,-3.329202647,-3.329202647,-3.329202647,-3.329202647,-3.329202647,-3.329202647,1.571968519,-3.329202647,-3.329202647,-3.329202647,-3.329202647,1.661580678,-3.329202647,-3.329202647,-3.329202647,-3.329202647,-3.329202647,2.149283884,-3.329202647,-3.329202647,-3.329202647,-3.329202647,-3.329202647,1.420418621,-3.329202647,1.10196489,-3.329202647,-3.329202647,-3.329202647,-3.329202647,3.058532333,-3.329202647,2.028205953,-3.329202647,-3.329202647,-3.329202647,1.987796414,-3.329202647,1.717150529,-3.329202647,-3.329202647,-3.329202647,1.819804683,-3.329202647,1.819804683,-3.329202647,-3.329202647,2.885356109,-3.329202647,2.333066362,-3.329202647,1.717150529,-3.329202647,0.780381266
575_T2,4.377897932,4.387317154,3.994274566,4.02616793,3.970854292,4.0870563,3.478808563,3.766490635,3.494193482,3.778051458,3.560638581,3.282435253,3.33749503,3.234116675,3.073343455,2.867491401,3.084904277,2.793383428,3.381170093,3.494193482,3.310344041,3.140784736,-2.656132707,2.96280158,3.662421275,2.867491401,2.895662278,3.64943408,2.46914376,2.696533602,2.696533602,-2.656132707,2.626329344,3.037836766,2.46914376,3.151595652,-2.656132707,3.272956509,3.718862586,-2.656132707,2.936484272,2.895662278,2.867491401,-2.656132707,3.668852166,3.581840789,3.253725147,-2.656132707,2.46914376,-2.656132707,2.550821791,2.949729499,2.679439169,-2.656132707,-2.656132707,2.936484272,3.455278065,-2.656132707,3.37258635,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,3.282435253,4.132424905,2.762130885,3.243968972,-2.656132707,-2.656132707,2.17434422,-2.656132707,-2.656132707,3.129855665,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,3.560638581,4.048341787,3.129855665,3.984972174,2.589288072,3.423017203,-2.656132707,3.795145891,2.403185792,-2.656132707,2.729870023,3.025715406,4.232124265,3.282435253,3.381170093,3.33749503,3.588809458,-2.656132707,-2.656132707,-2.656132707,3.193707137,-2.656132707,3.718862586,3.363928287,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,2.808650901,-2.656132707,-2.656132707,-2.656132707,3.355194607,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,2.510816457,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,3.754794596,-2.656132707,-2.656132707,3.073343455,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,3.151595652,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,3.17287305,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,3.778051458,-2.656132707,-2.656132707,-2.656132707,-2.656132707,2.746130544,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,3.581840789,-2.656132707,-2.656132707,-2.656132707,4.358789071,-2.656132707,3.282435253,-2.656132707,-2.656132707,-2.656132707,-2.656132707,-2.656132707,2.746130544,-2.656132707,-2.656132707
576_T2,4.147578054,3.893662844,3.745138667,3.883191544,4.018366322,3.845653625,3.431958018,3.616343559,3.367970309,3.792345071,3.559791389,2.312468144,2.325046926,2.286825713,2.086155018,2.086155018,1.986071559,2.020557735,2.51773127,3.090514768,2.52798777,2.558140808,-3.182932068,2.40892841,1.553938204,2.643500657,2.177126796,2.053894156,1.986071559,2.973458213,2.037364854,2.191515533,2.191515533,2.738810837,3.431958018,2.21968641,3.174128908,-3.182932068,-3.182932068,2.361860899,2.312468144,-3.182932068,-3.182932068,2.818217615,-3.182932068,1.968371982,-3.182932068,2.162527997,1.834840589,-3.182932068,1.68068991,1.771661688,2.21968641,2.40892841,1.606581938,3.168766965,2.795050555,2.21968641,2.020557735,1.344217673,2.349739539,-3.182932068,-3.182932068,2.132675033,-3.182932068,3.537731671,-3.182932068,-3.182932068,-3.182932068,1.89426401,-3.182932068,1.656592358,2.101903375,2.979972894,-3.182932068,2.086155018,-3.182932068,-3.182932068,2.21968641,-3.182932068,2.003463302,-3.182932068,2.233479733,-3.182932068,-3.182932068,0.938752565,2.898847349,-3.182932068,2.003463302,2.486315074,-3.182932068,-3.182932068,1.874845924,-3.182932068,-3.182932068,-3.182932068,3.367970309,2.855675177,2.312468144,-3.182932068,-3.182932068,2.361860899,2.68795242,1.771661688,1.161896116,2.070154676,2.191515533,2.037364854,2.053894156,3.090514768,3.096311886,-3.182932068,2.337469446,1.580606451,-3.182932068,-3.182932068,2.260508405,-3.182932068,-3.182932068,-3.182932068,-3.182932068,2.898847349,-3.182932068,-3.182932068,1.631899745,-3.182932068,2.053894156,-3.182932068,-3.182932068,1.855043297,-3.182932068,1.855043297,-3.182932068,2.548190477,1.874845924,-3.182932068,-3.182932068,-3.182932068,1.749682781,-3.182932068,-3.182932068,-3.182932068,-3.182932068,-3.182932068,1.968371982,-3.182932068,-3.182932068,1.631899745,1.834840589,2.486315074,-3.182932068,-3.182932068,-3.182932068,-3.182932068,-3.182932068,-3.182932068,-3.182932068,-3.182932068,-3.182932068,-3.182932068,2.475619785,-3.182932068,3.078818728,1.968371982,-3.182932068,-3.182932068,-3.182932068,-3.182932068,-3.182932068,1.950353477,-3.182932068,2.205700168,2.464808868,2.101903375,1.704220407,-3.182932068,-3.182932068,1.950353477,-3.182932068,-3.182932068,1.344217673,-3.182932068,1.968371982,-3.182932068,-3.182932068,2.596980642,-3.182932068,1.469380816,-3.182932068,-3.182932068,-3.182932068,1.121074122
577_T2,5.391280754,5.487295408,5.421817478,5.999528491,5.231948716,5.724425201,5.053256927,5.1265882,5.116435829,5.146588867,5.085345242,6.255053452,-1.578472549,-1.578472549,5.568420952,-1.578472549,-1.578472549,-1.578472549,-1.578472549,4.16905451,4.315657984,-1.578472549,-1.578472549,-1.578472549,3.527200623,-1.578472549,-1.578472549,-1.578472549,-1.578472549,4.142386263,-1.578472549,-1.578472549,-1.578472549,4.057828875,-1.578472549,-1.578472549,5.684759944,-1.578472549,4.70585562,5.095816541,-1.578472549,-1.578472549,-1.578472549,4.142386263,5.1854287,6.144596456,-1.578472549,4.027975911,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,5.335489395,-1.578472549,-1.578472549,5.594063383,-1.578472549,-1.578472549,5.343652705,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,4.360109746,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,4.360109746,-1.578472549,-1.578472549,-1.578472549,-1.578472549,4.70585562,-1.578472549,-1.578472549,-1.578472549,3.86367286,-1.578472549,-1.578472549,-1.578472549,4.779963592,4.848956463,-1.578472549,-1.578472549,5.391280754,4.482712069,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,4.443491355,4.482712069,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,5.375655436,-1.578472549,4.381615952,-1.578472549,-1.578472549,-1.578472549,-1.578472549,4.985815646,-1.578472549,-1.578472549,5.587714155,-1.578472549,-1.578472549,-1.578472549,4.195029996,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,4.245040417,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,3.997204253,-1.578472549,-1.578472549,-1.578472549,4.16905451,-1.578472549,-1.578472549,-1.578472549,-1.578472549,4.142386263,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549,-1.578472549
578_T2,5.148919412,5.196596835,4.823006935,4.811172478,4.650053129,4.694504891,4.457893123,4.507490064,4.523490405,4.607189424,4.607189424,3.694541684,3.773184811,3.471398132,3.676192545,3.493870988,3.137196044,3.738993446,3.846091582,-2.31159181,-2.31159181,3.471398132,4.457893123,3.388510472,4.208997075,3.998007624,3.36350917,-2.31159181,3.324794658,-2.31159181,3.568772296,-2.31159181,3.298126411,3.928535251,4.267060876,-2.31159181,3.482697687,-2.31159181,4.037486435,3.213569023,-2.31159181,-2.31159181,-2.31159181,-2.31159181,3.93570374,-2.31159181,3.558409509,-2.31159181,3.054504328,-2.31159181,2.945305036,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,4.135724874,2.707633384,2.800723807,2.778250952,-2.31159181,4.135724874,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,4.33639557,-2.31159181,-2.31159181,2.865262329,4.123960033,-2.31159181,-2.31159181,-2.31159181,-2.31159181,3.666890152,-2.31159181,-2.31159181,-2.31159181,2.549409379,3.448408614,-2.31159181,-2.31159181,4.219807991,-2.31159181,-2.31159181,3.956905948,-2.31159181,3.579028796,3.638452217,3.412901926,-2.31159181,-2.31159181,3.648021668,-2.31159181,-2.31159181,4.135724874,-2.31159181,3.526660811,-2.31159181,-2.31159181,-2.31159181,4.017941839,3.869258641,-2.31159181,-2.31159181,3.436712574,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,3.037112586,-2.31159181,-2.31159181,3.18371606,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,2.682940772,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,-2.31159181,3.448408614,-2.31159181,-2.31159181,-2.31159181,-2.31159181,4.192558349,-2.31159181,-2.31159181,3.400780565,-2.31159181,-2.31159181,-2.31159181,2.844208919,-2.31159181,-2.31159181,2.945305036,-2.31159181,2.822702714,2.60497923,3.270727437,-2.31159181,3.037112586,-2.31159181,-2.31159181,-2.31159181,3.037112586,-2.31159181,-2.31159181,-2.31159181,-2.31159181,4.129859755,-2.31159181,2.778250952,-2.31159181,-2.31159181,-2.31159181,-2.31159181
580_T2,3.445879962,3.85134507,3.299276487,3.299276487,-2.00327077,3.650674374,-2.00327077,-2.00327077,2.919786866,3.158197889,-2.00327077,4.797488765,3.650674374,4.343821555,4.315650678,-2.00327077,3.836077598,-2.00327077,-2.00327077,4.892798944,4.60333275,4.588944013,-2.00327077,-2.00327077,-2.00327077,4.423864262,-2.00327077,4.246657806,-2.00327077,-2.00327077,-2.00327077,5.687556301,3.612934046,-2.00327077,3.532891339,-2.00327077,5.150628054,4.150326697,4.473874683,-2.00327077,4.705115445,-2.00327077,5.150628054,-2.00327077,4.306081227,4.092507126,4.161499998,-2.00327077,-2.00327077,3.788824713,4.892798944,-2.00327077,4.116037624,3.59351596,-2.00327077,-2.00327077,4.092507126,4.127598446,4.343821555,-2.00327077,-2.00327077,4.215567219,-2.00327077,4.791589043,-2.00327077,-2.00327077,-2.00327077,4.481971893,-2.00327077,4.043716962,-2.00327077,-2.00327077,4.080530935,-2.00327077,-2.00327077,4.35303821,-2.00327077,-2.00327077,-2.00327077,5.183151245,5.214649913,-2.00327077,4.183478905,-2.00327077,-2.00327077,4.306081227,-2.00327077,-2.00327077,-2.00327077,-2.00327077,3.739227772,-2.00327077,-2.00327077,4.161499998,3.687042018,4.343821555,-2.00327077,-2.00327077,-2.00327077,-2.00327077,3.399359946,3.445879962,-2.00327077,-2.00327077,-2.00327077,3.836077598,3.820573411,-2.00327077,-2.00327077,-2.00327077,-2.00327077,3.490331724,-2.00327077,-2.00327077,-2.00327077,-2.00327077,4.127598446,5.129750469,4.949957358,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,4.974896307,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,3.028986158,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,4.755440528,-2.00327077,-2.00327077,4.767635802,-2.00327077,4.610450218,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077,-2.00327077
