OTUID,Feature.ID,Kingdom,Phylum,Class,Order,Family,Genus,confidence
1bbef1070bedf0db507fb6c7b5c28fff,X1,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231,0.992602853
54843b106b5061dc17ca8f371d357b44,X2,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231,0.993359161
ff3c4e848cb548750221af3deb5389dc,X3,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231,0.994832256
646c18c31a1f6154773b7b8e64b5c658,X4,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231,0.984517124
5171cbfbcd1781f0d7e7a7bdb94fb126,X5,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231,0.979776601
74803c74b50392f83753468b9235c931,X6,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231,0.99512276
2a2bbfefccc170850029ee0b903a7301,X7,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231,0.987818244
b90340baf132ddf80f4a342d544f1b03,X8,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231,0.984429088
e305ca72b43b91c7a701c947a71ef4b7,X9,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231,0.988223349
ad4f3211c1c7fd39e69c4a22600a9475,X10,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231,0.982173434
5a3a6d477b5fb489d2f7317edcd9b9cc,X11,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231,0.982352109
cf32fb1a1851ffab51de8b752990d321,X12,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999994
0f54807ebcdb7fa491db917beeb3595e,X13,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999987
3440e49bbd5cc4432ab49dd963d49bcd,X14,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999987
cc3ff094f1c3297ae1c88cab123ca109,X15,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999976
de99c650af737e28dff50e5c852ebb84,X16,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999979
280f71fdbdabf1d2c4fd57cb3e93ed43,X17,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999953
37835e4fbbd6bb6b2f6dbbbad70f9372,X18,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999998558
439e4f84c2a2e0c0f39e67ceabe0632a,X19,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999931
7a82038a2a87643382fdc201dacb1009,X20,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.988270845
